feature,min,max
EO_m_posterior_delta_kurt,-1.224583254,7.080619025
EO_m_frontal_beta_kurt,-1.104687377,7.073309936
EC_r_posterior_delta_kurt,-1.198197443,7.060392847
EC_m_frontal_theta_kurt,-1.164917717,7.058233749
EC_r_central_beta_kurt,-1.154127768,7.057908743
EC_l_central_theta_kurt,-1.157306392,7.040237328
EC_r_central_theta_kurt,-1.169754819,7.039790179
EC_m_frontal_alpha_kurt,-1.188591603,7.018743955
EC_l_central_delta_kurt,-1.282955519,6.990996053
EC_r_frontal_alpha_std,-2.034037251,6.982667341
EC_l_frontal_theta_kurt,-1.149398636,6.96165508
EO_l_posterior_gamma_mean,-0.792043125,6.955823419
EO_l_posterior_gamma_median,-0.792043125,6.955823419
EC_l_posterior_alpha_std,-2.099899322,6.916562702
EC_l_central_alpha_kurt,-1.214300611,6.907516662
EC_l_frontal_alpha_std,-2.079388243,6.905293633
EC_m_frontal_beta_kurt,-1.163942313,6.846433761
EC_r_frontal_alpha_kurt,-1.199279673,6.81945236
EO_m_central_alpha_std,-1.412164706,6.808817366
EC_l_posterior_beta_std,-1.593163815,6.791339344
EC_m_posterior_alpha_std,-2.115533907,6.782354237
EC_m_frontal_alpha_std,-2.014838669,6.768125104
EO_l_frontal_beta_mean,-1.628857703,6.746747664
EO_l_frontal_beta_median,-1.628857703,6.746747664
EC_l_posterior_theta_skew,-2.171966023,6.726671506
EC_r_posterior_theta_skew,-2.2340789,6.683405701
EO_m_frontal_alpha_kurt,-1.2137891,6.670441058
EC_r_central_delta_kurt,-1.234994916,6.647326244
EO_r_frontal_delta_kurt,-1.244343211,6.637021085
EC_r_frontal_beta_skew,-2.299754176,6.635316208
EC_r_central_alpha_kurt,-1.26732981,6.619147056
EC_m_frontal_delta_kurt,-1.235160761,6.617392478
EC_m_posterior_theta_skew,-2.290207198,6.593843167
EO_l_frontal_delta_kurt,-1.154873774,6.55133838
EC_l_central_alpha_std,-2.078603481,6.510036023
EC_r_posterior_alpha_std,-2.098232554,6.472017831
EO_l_central_alpha_std,-1.503656715,6.417731189
EC_l_frontal_beta_kurt,-1.099700176,6.410639684
EO_l_posterior_alpha_kurt,-1.286744423,6.401897414
EO_m_central_beta_skew,-2.039864696,6.36927199
EC_m_central_beta_std,-1.606268922,6.348584771
EO_r_frontal_beta_mean,-1.617855204,6.315651018
EO_r_frontal_beta_median,-1.617855204,6.315651018
EC_m_posterior_alpha_kurt,-1.20827546,6.287556996
EO_r_central_theta_skew,-2.335699575,6.284618241
EC_r_frontal_delta_kurt,-1.20630944,6.281429236
EO_l_central_beta_kurt,-1.156642313,6.245793565
EC_m_frontal_beta_mean,-1.631889136,6.243178638
EC_m_frontal_beta_median,-1.631889136,6.243178638
