epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_f1,val_loss
49,399,0.2385939657688141,,1.593462347984314,,,
50,407,,,,,0.20581993460655212,1.5832082033157349
50,407,0.23230618238449097,,1.5870873928070068,,,
51,415,,,,,0.19922034442424774,1.5818548202514648
51,415,0.22259026765823364,,1.5887442827224731,,,
52,423,,,,,0.2045377790927887,1.5809013843536377
52,423,0.22778239846229553,,1.5955215692520142,,,
53,431,,,,,0.20511376857757568,1.5793540477752686
53,431,0.23815792798995972,,1.5801087617874146,,,
54,439,,,,,0.20535697042942047,1.5781077146530151
54,439,0.21279028058052063,,1.5928281545639038,,,
55,447,,,,,0.21028809249401093,1.577135682106018
55,447,0.2342192679643631,,1.5801136493682861,,,
56,449,,0.24571746587753296,,1.5688557624816895,,
56,455,,,,,0.21037404239177704,1.575524091720581
